# xi	p/p(1)	rho/rho(1)	u/u(1)
0.92400000	0.61050412	0.44463545	0.85945198
0.92800000	0.62331790	0.46198662	0.86623176
0.93200000	0.63673484	0.48021575	0.87308317
0.93600000	0.65078819	0.49937875	0.88000599
0.94000000	0.66551336	0.51953569	0.88699993
0.94400000	0.68094806	0.54075118	0.89406463
0.94800000	0.69713248	0.56309470	0.90119964
0.95200000	0.71410951	0.58664110	0.90840440
0.95600000	0.73192489	0.61147101	0.91567831
0.96000000	0.75062751	0.63767135	0.92302067
0.96400000	0.77026959	0.66533592	0.93043068
0.96800000	0.79090699	0.69456601	0.93790750
0.97200000	0.81259949	0.72547106	0.94545019
0.97600000	0.83541112	0.75816944	0.95305774
0.98000000	0.85941051	0.79278926	0.96072906
0.98400000	0.88467128	0.82946929	0.96846302
0.98800000	0.91127246	0.86835998	0.97625839
0.99200000	0.93929894	0.90962457	0.98411391
0.99600000	0.96884204	0.95344034	0.99202824
1.00000000	1.00000000	1.00000000	1.00000000
